account_id,device
0-3129080,"iPad2,1"
0-3129651,"iPad3,1"
0-3130222,"iPhone3,1"
0-3130793,"iPod4,1"
0-3131364,"iPhone3,3"
0-3131935,"iPod4,1"
0-3132506,"iPhone3,1"
0-3133077,"iPhone4,1"
0-3133648,"iPhone4,1"
0-3134219,"iPhone5,2"
0-3134790,"iPhone3,1"
0-3135361,"iPod5,1"
0-3135932,"iPod4,1"
0-3136503,"iPhone5,2"
0-3137074,"iPad2,5"
0-3137420,"iPhone5,1"
0-3137992,"iPad3,4"
0-3138564,"iPad3,4"
0-3139136,"iPhone3,1"
0-3139708,"iPhone3,1"
0-3140280,"iPhone5,1"
0-3140852,"iPhone3,1"
0-3141424,"iPod4,1"
0-3141996,"iPhone4,1"
0-3142568,"iPod4,1"
0-3143140,"iPhone4,1"
0-3143712,"iPhone4,1"
0-3144284,"iPod4,1"
0-3144856,"iPad3,3"
0-3145428,"iPhone4,1"
0-3146000,"iPhone4,1"
0-3146572,"iPad2,5"
0-3147144,"iPhone2,1"
0-3147716,"iPhone4,1"
0-3148288,"iPad3,4"
0-3148860,"iPhone2,1"
0-3149432,"iPod4,1"
0-3150004,"iPad2,2"
0-3150576,"iPod4,1"
0-3151148,"iPad1,1"
0-3151720,"iPod4,1"
0-3152292,"iPad1,1"
0-3152864,"iPhone2,1"
0-3153436,"iPhone5,2"
0-3154008,"iPad2,4"
0-3154580,"iPod4,1"
0-3155152,"iPhone3,1"
0-3155724,"iPhone3,1"
0-3156296,"iPod4,1"
0-3156868,"iPad2,5"
0-3157440,"iPhone2,1"
0-3158012,"iPad2,2"
0-3158584,"iPhone4,1"
0-3159156,"iPad2,1"
0-3159728,"iPad2,7"
0-3160300,"iPad2,2"
0-3160872,"iPhone3,1"
0-3161444,"iPad1,1"
0-3162016,"iPhone4,1"
0-3162588,"iPad2,5"
0-3163160,"iPad2,1"
0-3163732,"iPhone5,2"
0-3164304,"iPod4,1"
0-3164876,"iPhone5,1"
0-3165448,"iPod4,1"
0-3166020,"iPad2,4"
0-3166592,"iPhone4,1"
0-3166971,"iPod4,1"
0-3167544,"iPad3,4"
0-3168117,"iPod4,1"
0-3168690,"iPod5,1"
0-3169263,"iPod4,1"
0-3169836,"iPhone2,1"
0-3170409,"iPad2,5"
0-3170982,"iPhone4,1"
0-3171555,"iPod4,1"
0-3172128,"iPhone5,2"
0-3172701,"iPhone4,1"
0-3173274,"iPhone4,1"
0-3173847,"iPhone4,1"
0-3174420,"iPhone2,1"
0-3174993,"iPad3,4"
0-3175566,"iPad3,1"
0-3176139,"iPad2,1"
0-3176712,"iPod4,1"
0-3177285,"iPad3,4"
0-3177858,"iPhone5,2"
0-3178431,"iPhone5,2"
0-3179004,"iPad2,1"
0-3179577,"iPod4,1"
0-3180150,"iPod4,1"
0-3180723,"iPhone5,1"
0-3181296,"iPhone4,1"
0-3181869,"iPhone3,1"
0-3182442,"iPad2,2"
0-3183015,"iPhone4,1"
0-3183588,"iPhone4,1"
0-3184161,"iPhone5,2"
0-3184734,"iPad2,3"
0-3185307,"iPhone3,1"
0-3185880,"iPhone2,1"
0-3186453,"iPad3,1"
0-3187026,"iPhone5,2"
0-3187599,"iPhone4,1"
0-3188172,"iPhone5,2"
0-3188745,"iPhone3,1"
0-3189318,"iPod4,1"
0-3189891,"iPhone5,2"
0-3190464,"iPod4,1"
0-3191037,"iPhone3,1"
0-3191610,"iPhone4,1"
0-3192183,"iPad2,1"
0-3192756,"iPod4,1"
0-3193329,"iPhone3,3"
0-3193902,"iPhone3,1"
0-3194475,"iPhone3,1"
0-3195048,"iPod4,1"
0-3195621,"iPhone3,1"
0-3196032,"iPhone4,1"
0-3196606,"iPhone4,1"
0-3197180,"iPod4,1"
0-3197754,"iPhone5,1"
0-3198328,"iPad2,5"
0-3198902,"iPhone4,1"
0-3199476,"iPhone3,1"
0-3200050,"iPad2,7"
0-3200624,"iPhone4,1"
0-3201198,"iPad3,3"
0-3201772,"iPhone4,1"
0-3202346,"iPhone4,1"
