order delivery time,order id,customer order rating,type of issue reported,region
2014-05-31 03:07:54 UTC,233595802,5,,chi
2014-05-31 02:17:53 UTC,233595705,5,,chi
2014-05-31 02:13:48 UTC,233595736,5,,chi
2014-05-31 01:57:25 UTC,233595777,5,,chi
2014-05-31 01:55:42 UTC,233595754,5,,chi
2014-05-31 01:43:43 UTC,233595500,5,,chi
2014-05-31 01:37:46 UTC,233595557,5,,chi
2014-05-31 01:29:48 UTC,233595655,5,,chi
2014-05-31 01:22:07 UTC,233595028,5,,chi
2014-05-31 01:22:02 UTC,233595602,5,,chi
2014-05-31 01:19:29 UTC,233595662,5,,chi
2014-05-31 01:12:58 UTC,233595686,5,,chi
2014-05-31 01:12:16 UTC,233595680,5,,chi
2014-05-31 00:56:52 UTC,233595616,5,,chi
2014-05-31 00:54:30 UTC,233595624,5,,chi
2014-05-31 00:44:36 UTC,233595003,5,,chi
2014-05-31 00:39:01 UTC,233595565,5,,chi
2014-05-31 00:32:10 UTC,233593097,5,,chi
2014-05-31 00:28:51 UTC,233595585,5,,chi
2014-05-31 00:25:27 UTC,233589369,5,,chi
2014-05-31 00:21:41 UTC,233595586,5,,chi
2014-05-31 00:18:28 UTC,233595515,5,,chi
2014-05-31 00:16:40 UTC,233591740,5,,chi
2014-05-31 00:14:42 UTC,233594760,5,,chi
2014-05-31 00:09:46 UTC,233595496,5,,chi
2014-05-31 00:04:22 UTC,233595491,5,,chi
2014-05-30 23:59:40 UTC,233595504,5,,chi
2014-05-30 23:57:49 UTC,233594671,5,,chi
2014-05-30 23:51:23 UTC,233594979,5,,chi
2014-05-30 23:51:21 UTC,233595192,5,,chi
2014-05-30 23:50:43 UTC,233595511,5,,chi
2014-05-30 23:48:28 UTC,233595473,5,,chi
2014-05-30 23:34:27 UTC,233595340,5,,chi
2014-05-30 23:14:02 UTC,233595394,5,,chi
2014-05-30 23:10:02 UTC,233594746,5,,chi
2014-05-30 23:07:08 UTC,233595419,5,,chi
2014-05-30 23:02:27 UTC,233591391,5,,chi
2014-05-30 23:00:15 UTC,233595368,5,,chi
2014-05-30 22:57:50 UTC,233595444,5,,chi
2014-05-30 22:57:15 UTC,233595083,5,,chi
2014-05-30 22:56:22 UTC,233595450,5,,chi
2014-05-30 22:56:12 UTC,233595186,5,,chi
2014-05-30 22:55:36 UTC,233595401,5,,chi
2014-05-30 22:51:47 UTC,233595336,5,,chi
2014-05-30 22:43:48 UTC,233595411,5,,chi
2014-05-30 22:38:51 UTC,233595334,5,,chi
2014-05-30 22:37:33 UTC,233595323,5,,chi
2014-05-30 22:33:51 UTC,233595168,5,,chi
2014-05-30 22:32:00 UTC,233595007,5,,chi
2014-05-30 22:24:59 UTC,233595405,5,,chi
2014-05-30 22:24:47 UTC,233594652,5,,chi
2014-05-30 22:17:08 UTC,233595163,5,,chi
2014-05-30 22:13:28 UTC,233595058,5,,chi
2014-05-30 22:11:53 UTC,233594649,5,,chi
2014-05-30 22:04:00 UTC,233595243,5,,chi
2014-05-30 22:01:54 UTC,233593978,5,,chi
2014-05-30 22:00:39 UTC,233595321,5,,chi
2014-05-30 21:58:29 UTC,233595235,5,,chi
2014-05-30 21:54:35 UTC,233595243,5,,chi
2014-05-30 21:51:58 UTC,233595213,5,,chi
2014-05-30 21:43:01 UTC,233595253,5,,chi
2014-05-30 21:40:11 UTC,233595120,5,,chi
2014-05-30 21:39:10 UTC,233595190,5,,chi
2014-05-30 21:35:46 UTC,233595223,5,,chi
2014-05-30 21:31:02 UTC,233594576,5,,chi
2014-05-30 21:29:28 UTC,233595210,5,,chi
2014-05-30 21:29:01 UTC,233595144,5,,chi
2014-05-30 21:24:01 UTC,233595124,5,,chi
2014-05-30 21:22:01 UTC,233595169,5,,chi
2014-05-30 21:17:10 UTC,233594361,5,,chi
2014-05-30 21:14:17 UTC,233594828,5,,chi
2014-05-30 21:10:21 UTC,233595216,5,,chi
2014-05-30 21:05:30 UTC,233594761,5,,chi
2014-05-30 21:02:42 UTC,233594541,5,,chi
2014-05-30 20:58:06 UTC,233594822,5,,chi
2014-05-30 20:54:13 UTC,233595138,5,,chi
2014-05-30 20:50:58 UTC,233595018,5,,chi
2014-05-30 20:49:48 UTC,233592952,5,,chi
2014-05-30 20:48:49 UTC,233595114,5,,chi
2014-05-30 20:47:08 UTC,233595114,5,,chi
2014-05-30 20:37:49 UTC,233595095,5,,chi
2014-05-30 20:23:49 UTC,233595172,5,,chi
2014-05-30 20:20:05 UTC,233595154,5,,chi
2014-05-30 20:05:24 UTC,233594983,5,,chi
2014-05-30 19:56:33 UTC,233594938,5,,chi
2014-05-30 19:54:30 UTC,233594615,5,,chi
2014-05-30 19:52:38 UTC,233595014,5,,chi
2014-05-30 19:52:01 UTC,233594797,5,,chi
2014-05-30 19:51:51 UTC,233594757,5,,chi
2014-05-30 19:50:13 UTC,233595078,5,,chi
2014-05-30 19:36:20 UTC,233591543,5,,chi
2014-05-30 19:36:03 UTC,233594944,5,,chi
