Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
2/1/15,5023,72%,81%,65%,73%,56%,66%,54%,62%,52%,58%,50%,56%,50%,52%,46%,49%,44%,45%,40%,44%,39%,43%,38%,42%,38%,41%,36%,40%,36%,38%,35%,36%,34%,34%,32%,34%,32%,34%,31%,34%,31%,33%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/15,4214,74%,82%,66%,70%,60%,65%,55%,60%,52%,56%,50%,54%,46%,51%,45%,47%,41%,43%,40%,43%,39%,43%,38%,41%,37%,39%,35%,39%,34%,37%,34%,35%,32%,34%,32%,34%,31%,34%,31%,33%,31%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/15,3442,75%,83%,64%,72%,59%,66%,57%,61%,52%,58%,52%,53%,47%,50%,44%,46%,42%,44%,42%,43%,40%,41%,38%,39%,37%,38%,36%,36%,35%,35%,34%,32%,34%,33%,32%,33%,32%,32%,31%,33%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/15,3510,74%,78%,64%,70%,59%,63%,54%,60%,52%,57%,47%,53%,45%,47%,41%,44%,40%,44%,39%,41%,38%,40%,38%,38%,36%,37%,36%,35%,34%,34%,32%,33%,32%,33%,31%,32%,31%,32%,29%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/15,4220,68%,76%,60%,67%,54%,60%,50%,56%,48%,51%,44%,48%,42%,44%,39%,43%,40%,41%,38%,39%,37%,39%,36%,38%,34%,35%,32%,34%,32%,32%,30%,32%,30%,31%,30%,31%,28%,31%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/15,4219,71%,81%,62%,71%,55%,63%,53%,61%,49%,55%,47%,51%,44%,47%,43%,45%,42%,44%,41%,43%,39%,41%,37%,39%,37%,37%,35%,37%,34%,35%,34%,34%,32%,34%,31%,34%,31%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/15,4927,71%,79%,61%,67%,56%,62%,54%,55%,48%,54%,46%,49%,42%,46%,41%,44%,41%,43%,38%,42%,37%,38%,37%,38%,35%,36%,34%,33%,32%,34%,31%,33%,32%,33%,31%,31%,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/15,4616,71%,78%,60%,68%,55%,63%,50%,57%,49%,52%,44%,47%,42%,46%,41%,44%,39%,43%,39%,41%,37%,41%,36%,38%,35%,37%,32%,35%,32%,33%,30%,34%,31%,32%,30%,31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/15,4220,69%,77%,59%,68%,54%,60%,50%,57%,46%,50%,43%,47%,41%,46%,40%,45%,38%,42%,38%,40%,36%,38%,35%,37%,35%,34%,32%,34%,32%,33%,31%,33%,31%,32%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/15,3736,68%,79%,58%,69%,53%,62%,51%,57%,46%,51%,43%,49%,42%,46%,41%,44%,39%,43%,38%,41%,37%,39%,36%,38%,34%,35%,35%,34%,33%,35%,32%,33%,32%,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
