"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"264","https://www.airbnb.com/rooms/19315275","Scottsdale","-111.904490409765","33.5604291298051","https://maps.google.com/maps?q=33.56042912980509385,-111.90449040976507433","BRAND NEW CUSTOM $1MM 5* HOME IN SCOTTSDALE! w/ HEATED POOL/ POOL TABLE!","12","2.5","4","1","350","0","Parsons"
"265","https://www.airbnb.com/rooms/15952424","Mesa","-111.866226317984","33.422267142812","https://maps.google.com/maps?q=33.42226714281198241,-111.86622631798429950","Close to Scottsdale, Tempe, and Mesa Riverview!","10","2","4","0","150","0","Rob"
"266","https://www.airbnb.com/rooms/13018048","Scottsdale","-111.834215487062","33.5826071078314","https://maps.google.com/maps?q=33.58260710783144987,-111.83421548706171222","Sparkling Heated Pool, Hot Tub, Fitness Center","6","2","2","1","150","0","Barbara"
"267","https://www.airbnb.com/rooms/15782934","Scottsdale","-111.958195185769","33.6324503875575","https://maps.google.com/maps?q=33.63245038755751892,-111.95819518576888640","5 STAR RATED! NEWLY REMODELED!!","9","2","3","0","175","1","Lisa"
"269","https://www.airbnb.com/rooms/18545320","Mesa","-111.798178581408","33.4452426370905","https://maps.google.com/maps?q=33.44524263709054424,-111.79817858140761189","Mesa Luxury Hacienda Resort Home","8","2.5","3","1","129","1","John"
"270","https://www.airbnb.com/rooms/20310737","Phoenix","-111.997568669657","33.4846370736373","https://maps.google.com/maps?q=33.48463707363729469,-111.99756866965704205","Biltmore/Arcadia gem!  Great location, pets OK !","7","1","2","0","55","1","Angelo"
"272","https://www.airbnb.com/rooms/20626273","Phoenix","-112.079942018314","33.5331634001249","https://maps.google.com/maps?q=33.53316340012494123,-112.07994201831407111","Luxury Two Bedroom Townhome in Uptown Phoenix 111","6","2.5","2","1","100","0","Ardent"
"273","https://www.airbnb.com/rooms/18826829","Scottsdale","-111.934182570474","33.6149280763947","https://maps.google.com/maps?q=33.61492807639465497,-111.93418257047356690","Location! Spacious Home in Kierland w/Pool Table","8","2","3","1","250","1","C.J."
"274","https://www.airbnb.com/rooms/11009076","Phoenix","-112.051282522566","33.4010000385021","https://maps.google.com/maps?q=33.40100003850213994,-112.05128252256639598","Remodeled 4BD Near Downtown Phoenix","8","2.5","4","0","89","1","Doug & Teri"
"275","https://www.airbnb.com/rooms/11420688","Scottsdale","-111.907871790129","33.4807352715115","https://maps.google.com/maps?q=33.48073527151149875,-111.90787179012859553","2/2 Luxury Condo near Old Town","4","2","2","1","125","1","Jared"
"276","https://www.airbnb.com/rooms/11440551","Scottsdale","-111.917296336498","33.4991521259845","https://maps.google.com/maps?q=33.49915212598449443,-111.91729633649769937","Vacation Home / Short-Term Rental / GIANTS Rental","7","2.5","2","1","150","1","Mj"
