element_id,is mobile ( 1),CVR estimation 1 ,CVR estimation 2 
50108,,0.02983747,0.057
50108,1,0.01505345,0.0124
50110,,0.02983747,0.057
50110,1,0.01505345,0.0124
50137,,0.0268429,0.057
50137,1,0.01505345,0.0124
50198,,0.02983747,0.057
50198,1,0.01505345,0.0124
50211,,0.02983747,0.057
50211,1,0.01505345,0.0124
50252,,0.02983747,0.057
50252,1,0.01505345,0.0124
50258,,0.02902789,0.057
50258,1,0.01505345,0.0124
50275,,0.02983747,0.057
50275,1,0.01505345,0.0124
50311,,0.02983747,0.057
50311,1,0.01505345,0.0124
50326,,0.02983747,0.057
50326,1,0.01505345,0.0124
50335,,0.02983747,0.057
50335,1,0.01505345,0.0124
50347,,0.02983747,0.057
50347,1,0.01505345,0.0124
50381,,0.02983747,0.057
50381,1,0.01505345,0.0124
50398,,0.02983747,0.057
50398,1,0.01505345,0.0124
50466,,0.02983747,0.057
50466,1,0.01505345,0.0124
50531,,0.02983747,0.057
50531,1,0.01505345,0.0124
50536,,0.02983747,0.057
50536,1,0.01505345,0.0124
50568,,0.02983747,0.057
50568,1,0.01505345,0.0124
50648,,0.02983747,0.057
50648,1,0.01505345,0.0124
50698,,0.02983747,0.057
50698,1,0.01505345,0.0124
50757,,0.02983747,0.057
50757,1,0.01505345,0.0124
50793,,0.02902789,0.057
50793,1,0.01505345,0.0124
50818,,0.02983747,0.057
50818,1,0.01505345,0.0124
50822,,0.02983747,0.057
50822,1,0.01505345,0.0124
50870,,0.02983747,0.057
50870,1,0.01505345,0.0124
50931,,0.02983747,0.057
50931,1,0.01505345,0.0124
50970,,0.02902789,0.057
50970,1,0.01505345,0.0124
51044,,0.02983747,0.057
51044,1,0.01505345,0.0124
51106,,0.02983747,0.057
51106,1,0.01505345,0.0124
51211,,0.02983747,0.057
51211,1,0.01505345,0.0124
51212,,0.02983747,0.057
51212,1,0.01505345,0.0124
51284,,0.02983747,0.057
51284,1,0.01505345,0.0124
51285,,0.02983747,0.057
51285,1,0.01505345,0.0124
51349,,0.02983747,0.057
51349,1,0.01505345,0.0124
51399,,0.02983747,0.057
51399,1,0.01505345,0.0124
51460,,0.02826108,0.057
51460,1,0.01505345,0.0124
51497,,0.02983747,0.057
51497,1,0.01505345,0.0124
51565,,0.02983747,0.057
51565,1,0.01505345,0.0124
51628,,0.02983747,0.057
51628,1,0.01505345,0.0124
51641,,0.02983747,0.057
51641,1,0.01505345,0.0124
51646,,0.02983747,0.057
51646,1,0.01505345,0.0124
51721,,0.02902789,0.057
51721,1,0.01505345,0.0124
51745,,0.02983747,0.057
51745,1,0.01505345,0.0124
51762,,0.02983747,0.057
51762,1,0.01505345,0.0124
51763,,0.07692141,0.057
51763,1,0.01505345,0.0124
51845,,0.02983747,0.057
51845,1,0.01505345,0.0124
51907,,0.02983747,0.057
51907,1,0.01505345,0.0124
51964,,0.02983747,0.057
51964,1,0.01505345,0.0124
51972,,0.02983747,0.057
51972,1,0.01505345,0.0124
52008,,0.02983747,0.057
52008,1,0.01505345,0.0124
52050,,0.02983747,0.057
52050,1,0.01505345,0.0124
52058,,0.07627839,0.057
52058,1,0.01505345,0.0124
52077,,0.02983747,0.057
52077,1,0.01505345,0.0124
52081,,0.02983747,0.057
52081,1,0.01505345,0.0124
52095,,0.02983747,0.057
52095,1,0.01505345,0.0124
52146,,0.02983747,0.057
52146,1,0.01505345,0.0124
52206,,0.02902789,0.057
52206,1,0.01505345,0.0124
52240,,0.02983747,0.057
52240,1,0.01505345,0.0124
52254,,0.02983747,0.057
52254,1,0.01505345,0.0124
52338,,0.02983747,0.057
52338,1,0.01505345,0.0124
52351,,0.02983747,0.057
52351,1,0.01505345,0.0124
52381,,0.02983747,0.057
52381,1,0.01505345,0.0124
52457,,0.02983747,0.057
52457,1,0.01505345,0.0124
52468,,0.02983747,0.057
52468,1,0.01505345,0.0124
52471,,0.02983747,0.057
52471,1,0.01505345,0.0124
52514,,0.02983747,0.057
52514,1,0.01505345,0.0124
52533,,0.02983747,0.057
52533,1,0.01505345,0.0124
52552,,0.02983747,0.057
52552,1,0.01505345,0.0124
52578,,0.02983747,0.057
52578,1,0.01505345,0.0124
52604,,0.02983747,0.057
52604,1,0.01505345,0.0124
52608,,0.02983747,0.057
52608,1,0.01505345,0.0124
52609,,0.02983747,0.057
52609,1,0.01505345,0.0124
52661,,0.02983747,0.057
52661,1,0.01505345,0.0124
52663,,0.02983747,0.057
52663,1,0.01505345,0.0124
52676,,0.02983747,0.057
52676,1,0.01505345,0.0124
52692,,0.07692141,0.057
52692,1,0.01505345,0.0124
52774,,0.02983747,0.057
52774,1,0.01505345,0.0124
52838,,0.02983747,0.057
52838,1,0.01505345,0.0124
52844,,0.02902789,0.057
52844,1,0.01505345,0.0124
52919,,0.02983747,0.057
52919,1,0.01505345,0.0124
52945,,0.02983747,0.057
52945,1,0.01505345,0.0124
52949,,0.02983747,0.057
52949,1,0.01505345,0.0124
52952,,0.02983747,0.057
52952,1,0.01505345,0.0124
53034,,0.02983747,0.057
53034,1,0.01505345,0.0124
53052,,0.02826108,0.057
53052,1,0.01505345,0.0124
53076,,0.02983747,0.057
53076,1,0.01505345,0.0124
53112,,0.02983747,0.057
53112,1,0.01505345,0.0124
53135,,0.07627839,0.057
53135,1,0.01284848,0.0124
53136,,0.02983747,0.057
53136,1,0.01505345,0.0124
53137,,0.02983747,0.057
53137,1,0.01505345,0.0124
53168,,0.02983747,0.057
53168,1,0.01505345,0.0124
53176,,0.02983747,0.057
53176,1,0.01505345,0.0124
53201,,0.02983747,0.057
53201,1,0.01505345,0.0124
53282,,0.02902789,0.057
53282,1,0.01505345,0.0124
53333,,0.02983747,0.057
53333,1,0.01505345,0.0124
53415,,0.02826108,0.057
53415,1,0.01505345,0.0124
53418,,0.02983747,0.057
53418,1,0.01505345,0.0124
53421,,0.02983747,0.057
53421,1,0.01505345,0.0124
53479,,0.02983747,0.057
53479,1,0.01505345,0.0124
53486,,0.02983747,0.057
53486,1,0.01505345,0.0124
53509,,0.02983747,0.057
53509,1,0.01505345,0.0124
53542,,0.02902789,0.057
53542,1,0.01505345,0.0124
53620,,0.02902789,0.057
53620,1,0.01505345,0.0124
53629,,0.02983747,0.057
53629,1,0.01505345,0.0124
53645,,0.02983747,0.057
53645,1,0.01505345,0.0124
53651,,0.02983747,0.057
53651,1,0.01505345,0.0124
53654,,0.02902789,0.057
53654,1,0.01505345,0.0124
53717,,0.02983747,0.057
53717,1,0.01505345,0.0124
53746,,0.02983747,0.057
53746,1,0.01505345,0.0124
53787,,0.02983747,0.057
53787,1,0.01505345,0.0124
53824,,0.02983747,0.057
53824,1,0.01505345,0.0124
53857,,0.02902789,0.057
53857,1,0.01505345,0.0124
53869,,0.02983747,0.057
53869,1,0.01505345,0.0124
53872,,0.07692141,0.057
53872,1,0.01455392,0.0124
53879,,0.02983747,0.057
53879,1,0.01505345,0.0124
53974,,0.02983747,0.057
53974,1,0.01505345,0.0124
54077,,0.02983747,0.057
54077,1,0.01505345,0.0124
54147,,0.02983747,0.057
54147,1,0.01455392,0.0124
54148,,0.02983747,0.057
54148,1,0.01505345,0.0124
54149,,0.07692141,0.057
54149,1,0.01455392,0.0124
54196,,0.02983747,0.057
54196,1,0.01505345,0.0124
54229,,0.02983747,0.057
54229,1,0.01505345,0.0124
54232,,0.02983747,0.057
54232,1,0.01505345,0.0124
54254,,0.02983747,0.057
54254,1,0.01505345,0.0124
54255,,0.02983747,0.057
54255,1,0.01505345,0.0124
54285,,0.02983747,0.057
54285,1,0.01505345,0.0124
54288,,0.02983747,0.057
54288,1,0.01505345,0.0124
54384,,0.07692141,0.057
54384,1,0.00765601,0.0124
54402,,0.02983747,0.057
54402,1,0.01505345,0.0124
54446,,0.02983747,0.057
54446,1,0.01505345,0.0124
54449,,0.02983747,0.057
54449,1,0.01505345,0.0124
54474,,0.02983747,0.057
54474,1,0.01505345,0.0124
54520,,0.02983747,0.057
