"Number of daily deaths by local authority, England and Wales, deaths occurred in 2014 1,2,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Authority,Month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,
,February,2,4,2,6,5,4,2,2,3,3,4,5,5,6,4,3,6,5,3,6,6,4,4,3,4,4,6,5,0,0,0,
,March,3,4,4,5,3,2,7,2,4,4,5,4,2,9,2,4,2,6,6,1,6,2,1,6,4,2,4,5,0,6,3,
,April,5,7,4,7,3,4,4,1,0,2,7,4,2,4,1,4,1,1,6,2,1,2,5,1,3,6,1,2,4,0,0,
,May,7,1,3,4,6,1,5,6,3,4,3,3,4,2,4,7,4,5,3,1,3,3,4,2,3,2,6,3,2,1,8,
,June,0,4,4,3,3,2,2,2,4,1,3,1,3,2,1,2,5,5,1,5,2,2,4,9,5,2,4,3,4,3,0,
,July,2,3,4,8,4,1,2,2,6,2,4,1,2,3,2,4,3,7,1,6,0,3,5,5,5,2,4,1,4,1,5,
,August ,2,1,4,4,2,4,0,3,4,2,5,6,2,1,1,3,7,0,0,3,3,5,1,0,3,3,1,3,2,4,5,
,September,2,5,4,2,2,2,4,2,4,4,3,2,3,5,0,3,4,3,2,2,2,4,1,5,5,0,4,3,5,4,0,
,October,2,6,5,4,4,0,2,5,4,4,4,5,3,6,4,0,4,5,2,4,1,2,1,1,1,5,5,4,4,2,2,
,November,3,7,2,6,2,2,4,2,4,6,3,3,4,7,5,4,4,6,7,4,4,6,3,1,2,8,4,3,4,1,0,
,December,2,3,4,4,3,2,1,4,4,6,1,7,4,6,1,6,3,6,8,4,3,8,1,3,3,8,4,5,10,9,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnet                                  ,January,5,9,9,8,0,9,4,7,8,2,8,6,7,6,13,9,5,13,9,7,8,6,5,7,6,10,2,6,7,13,5,
,February,8,4,9,7,9,9,2,6,6,7,4,8,13,9,6,8,9,5,7,7,5,9,3,7,9,5,5,6,0,0,0,
,March,7,7,4,6,11,6,7,6,9,3,2,4,11,8,12,10,9,4,3,14,6,12,7,9,8,6,2,6,6,3,7,
,April,7,10,13,8,6,4,6,6,6,8,5,7,5,8,1,11,5,7,7,10,6,7,5,6,7,6,4,6,9,10,0,
,May,6,2,5,10,7,3,9,2,4,7,5,3,4,4,8,4,7,6,5,0,3,5,5,4,3,3,7,7,6,9,3,
,June,7,8,2,4,7,9,7,7,6,6,5,9,11,9,6,7,5,8,7,1,9,5,4,4,9,9,9,9,7,9,0,
,July,3,2,10,4,4,6,5,3,8,2,5,6,1,9,3,11,7,6,4,12,3,8,9,6,10,4,2,6,2,5,9,
,August ,3,8,4,5,8,5,9,5,6,7,5,6,7,4,4,8,13,7,8,4,8,2,7,8,4,4,4,7,9,6,4,
,September,7,10,9,7,9,0,8,6,7,5,7,2,3,3,10,5,4,4,7,7,3,5,3,5,14,6,3,7,11,1,0,
,October,8,4,8,1,7,8,6,5,6,6,5,10,10,5,5,4,9,6,6,5,12,4,9,9,2,3,5,7,8,9,6,
,November,6,4,10,4,9,9,6,7,5,8,9,10,5,7,7,8,4,4,8,5,10,8,7,6,7,7,5,8,5,9,0,
,December,6,8,5,5,8,10,8,8,4,7,6,5,6,7,9,8,5,6,4,10,6,7,11,8,11,6,6,10,8,12,9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barnsley                                ,January,11,5,8,5,5,9,7,15,7,6,9,5,7,7,6,7,7,9,8,9,10,6,9,6,4,3,5,7,10,5,7,
,February,10,8,6,5,14,9,6,6,8,7,6,4,7,13,3,8,8,10,8,10,9,8,7,9,7,12,6,12,0,0,0,
,March,6,6,7,6,2,7,14,5,4,8,7,5,8,6,9,3,4,5,8,4,6,4,7,8,7,7,8,4,1,5,3,
,April,9,4,8,6,7,4,5,5,7,4,7,14,11,9,4,3,8,4,7,4,6,6,9,1,8,6,5,8,7,9,0,
,May,8,3,6,2,5,6,8,7,6,10,3,7,5,7,2,6,4,6,3,5,3,5,3,7,6,5,4,7,3,8,2,
,June,1,5,3,3,4,8,10,3,3,5,6,3,4,4,3,6,3,8,6,6,3,8,4,8,5,5,5,9,3,0,0,
,July,7,5,7,9,6,6,5,5,8,8,8,4,4,6,6,5,4,6,7,4,5,7,4,7,5,7,7,6,3,8,8,
,August ,7,3,6,6,9,3,5,8,3,5,13,9,3,12,7,5,5,7,5,6,6,11,6,7,6,5,8,4,14,10,3,
,September,4,5,4,3,6,2,3,3,6,3,7,11,7,6,7,10,5,3,6,5,9,4,3,4,3,3,5,4,11,9,0,
,October,8,5,7,5,9,9,5,8,9,3,6,7,10,8,4,6,6,7,6,1,5,11,6,3,5,6,5,6,8,3,6,
,November,7,3,8,8,4,7,8,6,9,5,7,8,3,2,6,6,8,8,7,10,7,9,3,5,5,8,11,6,4,9,0,
,December,6,6,9,10,4,6,7,2,4,8,5,8,10,10,8,8,10,6,9,9,6,9,12,9,8,5,8,4,7,9,11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barrow-in-Furness                       ,January,1,5,0,2,1,1,1,1,1,7,3,1,2,4,1,3,2,3,3,0,3,2,0,3,3,3,3,2,2,3,3,
,February,2,3,1,2,3,5,1,3,1,1,2,0,2,0,1,2,4,1,4,3,7,6,3,1,1,1,2,4,0,0,0,
,March,0,1,3,0,1,2,3,3,4,3,1,0,4,3,5,1,2,4,3,2,5,3,4,2,2,0,5,2,1,2,1,
,April,1,2,0,2,1,0,1,3,1,4,1,0,1,1,1,2,4,2,3,4,3,2,1,1,2,1,1,1,1,1,0,
,May,1,1,4,1,0,7,1,2,1,1,2,0,1,1,4,2,3,3,6,4,0,3,6,2,0,2,2,5,2,0,4,
,June,4,1,4,1,1,6,7,1,0,2,3,0,3,3,2,1,3,5,2,1,3,1,1,2,2,3,4,1,1,1,0,
,July,1,0,0,0,2,4,2,0,1,2,1,2,1,2,2,1,3,6,3,0,2,1,1,2,3,4,1,0,3,0,5,
,August ,3,1,2,2,3,2,1,2,1,1,1,1,1,0,0,2,6,2,3,3,1,2,1,2,6,2,5,2,1,1,1,
,September,4,2,2,1,2,3,0,3,4,1,2,2,2,2,2,2,0,0,0,3,1,0,0,0,0,1,1,3,1,3,0,
